Species,BodyMass,Longevity
Acanthis flammea,13.4,10.67
Accipiter cooperii,346.7,20.33333333
Accipiter gentilis,964.2,22
Accipiter striatus,130,19.9
Actitis macularius,40.3,12
Aechmophorus clarkii,1228,14
Aechmophorus occidentalis,1026.5,14
Aegolius acadicus,82,8.408333333
Aeronautes saxatalis,33,10
Agelaius phoeniceus,54.7,15.8
Agelaius tricolor,54.1,13.1
Aimophila rufescens,18.4,NA
Aix sponsa,645,22.5
Ammodramus bairdii,17.9,4.591666667
Ammodramus henslowii,11.9,6.5
Ammodramus leconteii,13.1,4.083333333
Ammodramus maritimus,22.2,8.958333333
Ammodramus nelsoni,16.7,10
Ammodramus savannarum,16.7,5.1
Amphispiza bilineata,13.1,6
Anas acuta,802,27.417
Anas crecca,350.4,27.1
Anas fulvigula,925,29.1
Anas platyrhynchos,1036.7,29.1
Anas rubripes,899,29.1
Anhinga anhinga,972.6,16.4
Anthus rubescens,20.3,5.1
Anthus spragueii,22.9,NA
Antigone canadensis,3574,NA
Antrostomus carolinensis,108,NA
Antrostomus vociferus,48.3,15
Aphelocoma californica,86.6,16.3
Aquila chrysaetos,3020.4,48
Aramus guarauna,990,NA
Archilochus alexandri,3.2,10.54166667
Archilochus colubris,2.8,9
Ardea alba,812.3,22.834
Ardea herodias,1957,24.5
Artemisiospiza belli,17.1,9.1
Asio flammeus,322.4,12.9
Asio otus,265.6,27.775
Athene cunicularia,140.1,8.7
Auriparus flaviceps,6.8,5.6
Aythya affinis,642.8,18.8
Aythya americana,930,22.6
Aythya collaris,689,20.41666667
Aythya marila,915,22.1
Aythya valisineria,1078.8,29.5
Baeolophus atricristatus,18.8,13.25
Baeolophus bicolor,21,13.275
Baeolophus inornatus,15.8,8
Baeolophus ridgwayi,16,8
Bartramia longicauda,133.9,7.05
Bombycilla cedrorum,33.6,7.6
Bombycilla garrulus,59.5,5.833333333
Bonasa umbellus,554.4,8.5
Botaurus lentiginosus,619.3,8.333333333
Brachyramphus marmoratus,214.2,10
Branta canadensis,2617.5,42
Bubo virginianus,1129.5,21.3
Bubulcus ibis,351.1,23
Bucephala albeola,389.1,18.7
Bucephala clangula,828.8,18.41666667
Bucephala islandica,909.3,18
Buteo albonotatus,844.7,NA
Buteo jamaicensis,981.9,30.66666667
Buteo lagopus,896.4,18.8
Buteo lineatus,529.7,22.41666667
Buteo platypterus,368.7,18.33333333
Buteo regalis,1111.8,23.7
Buteo swainsoni,762.8,24.08333333
Butorides virescens,207.8,11.6
Calamospiza melanocorys,37.8,4
Calcarius ornatus,18.9,4
Calidris minutilla,24,16
Callipepla californica,172.1,6.991666667
Callipepla gambelii,161.1,7.4
Callipepla squamata,191.3,NA
Calypte anna,4,6.3
Calypte costae,2.8,6
Campylorhynchus brunneicapillus,41.1,6.3
Caracara cheriway,915.5,25.8
Cardellina canadensis,11.3,8
Cardellina pusilla,7.4,6.8
Cardinalis sinuatus,35.4,8.083333333
Carduelis carduelis,43.8,14.08333333
Cathartes aura,1501.8,20.8
Catharus fuscescens,31.9,10.1
Catharus guttatus,26,8.7
Catharus mexicanus,10.8,NA
Catharus minimus,31.1,7.316666667
Catharus ustulatus,30.1,11
Centrocercus urophasianus,1479.4,7
Certhia americana,8,8.166666667
Chaetura pelagica,21.2,15
Chaetura vauxi,17.7,5.1
Chamaea fasciata,14.8,12.6
Charadrius montanus,95.2,10
Charadrius semipalmatus,47.2,20.83333333
Charadrius vociferus,87.2,10.91666667
Chlidonias niger,58.6,17.2
Chondestes grammacus,28.4,7.8
Chordeiles acutipennis,49.8,NA
Chordeiles minor,70.8,10
Chroicocephalus philadelphia,203.2,NA
Cinclus mexicanus,51,5.1
Circus hudsonius,440.4,17.1
Cistothorus palustris,10.5,NA
Cistothorus platensis,8.4,NA
Coccothraustes vespertinus,52.3,NA
Coccyzus americanus,66.3,5
Coccyzus erythropthalmus,48.7,3.8
Colaptes auratus,136.8,9.183333333
Colinus virginianus,188,6.4
Columbina inca,43.3,13.3
Columbina passerina,39.1,7.2
Contopus cooperi,31.7,7.1
Contopus sordidulus,13.4,7
