Species,bodymass,brainsize
Hyla versicolor,0.01315,4.23E-05
Pseudacris triseriata,1.00E-04,2.26E-06
Acris crepitans,3.00E-04,4.43E-06
Platymantis vitiensis,3.00E-04,4.93E-06
Rana sylvatica,0.00037,8.57E-06
Rana pipiens,0.0011,2.04E-05
Rana clamitans,0.00362,3.92E-05
Xenopus laevis,0.03237,5.14E-05
Rhinophrynus dorsalis,0.01657,3.29E-05
Cupiennius salei,NA,2.51E-07
Nephila clavipes,NA,6.31E-08
Ephebopus sp.,NA,3.82E-07
Phidippus regius,NA,2.75E-07
Zygiella x-notata,3.90E-05,1.22E-06
Zygiella x-notata,2.90E-05,1.36E-06
Mysmena sp.,1.00E-07,4.04E-09
Mysmenopsis tengellacompa,3.00E-07,1.88E-08
Anapisona simoni,8.00E-07,1.32E-08
Anapisona simoni,8.00E-07,1.20E-08
Faiditus elevatus,3.00E-06,3.40E-08
Faiditus elevatus,2.40E-06,5.51E-08
Faiditus sp.,2.70E-06,5.57E-08
Eustala illicita,1.40E-05,NA
Leucauge mariana,6.00E-05,1.58E-07
Leucauge mariana,2.00E-05,1.34E-07
Argiope argentata,0.00025,3.45E-07
Nephila clavipes,0.002,6.63E-07
Nephila clavipes,1.12E-05,1.62E-07
Eratigena atrica,NA,1.38E-07
Deinopis spinosa,NA,2.45E-08
Deinopis spinosa,NA,2.20E-08
Deinopis spinosa,NA,2.43E-08
Deinopis spinosa,NA,2.30E-08
Deinopis spinosa,NA,2.95E-08
Deinopis spinosa,NA,2.44E-08
Deinopis spinosa,NA,2.11E-08
Deinopis spinosa,NA,3.50E-08
Deinopis spinosa,NA,4.01E-08
Deinopis spinosa,NA,2.53E-08
Deinopis spinosa,NA,3.88E-08
Deinopis spinosa,NA,2.91E-08
Deinopis spinosa,NA,3.76E-08
Deinopis spinosa,NA,3.79E-08
Deinopis spinosa,NA,3.91E-08
Deinopis spinosa,NA,4.38E-08
Deinopis spinosa,NA,4.33E-08
Deinopis spinosa,NA,4.50E-08
Deinopis spinosa,NA,3.96E-08
Deinopis spinosa,NA,3.50E-08
Casuarius casuarius,43.85,0.0376586
Dromaius novaehollandiae,36.5,0.02991968
Alectura lathami,2.3,0.00588448
Leipoa ocellata,2,0.004662
Coturnix pectoralis,0.105,0.00099456
Excalfactoria chinensis,0.0375,0.00058016
Anseranas semipalmata,2.4,0.0091168
Dendrocygna eytoni,1,0.00472416
Dendrocygna arcuata,0.8,0.00467236
Biziura lobata,1.975,0.00903392
Stictonetta naevosa,0.91,0.00456876
Cereopsis novaehollandiae,5,0.00914788
Cygnus atratus,6.1,0.0125874
Tadorna radjah,0.885,0.00536648
Tadorna tadornoides,1.45,0.00603988
Chenonetta jubata,0.8,0.00422688
Malacorhynchus membranaceus,0.375,0.0029526
Nettapus pulchellus,0.28,0.00277648
Anas rhynchotis,0.65,0.00366744
Anas gracilis,0.4965,0.00364672
Anas castanea,0.65,0.00386428
Anas superciliosa,1,0.00552188
Aythya australis,0.85,0.00506604
Oxyura australis,0.85,0.00416472
Phaethon rubricauda,0.8,0.00468272
Tachybaptus novaehollandiae,0.165,0.00171976
Poliocephalus poliocephalus,0.24,0.00178192
Podiceps cristatus,1.1,0.00322196
Columba leucomela,0.42,0.00237244
Macropygia amboinensis,0.2,0.00154364
Chalcophaps indica,0.135,0.001295
Phaps chalcoptera,0.335,0.00184408
Phaps elegans,0.205,0.0017094
Phaps histrionica,0.3,0.0017094
Ocyphaps lophotes,0.19,0.0017612
Geophaps plumifera,0.095,0.00122248
Geophaps smithii,0.205,0.00144004
Petrophassa albipennis,0.125,0.0011396
Geopelia cuneata,0.033,0.00080808
Geopelia striata,0.0485,0.00081844
Geopelia humeralis,0.13,0.00130536
Leucosarcia melanoleuca,0.415,0.00249676
Ptilinopus magnificus,0.335,0.00224812
Ptilinopus superbus,0.107,0.00112924
Ptilinopus regina,0.095,0.00125356
Lopholaimus antarcticus,0.575,0.00280756
Podargus strigoides,0.285,0.00503496
Eurostopodus mystacalis,0.13,0.00137788
Eurostopodus argus,0.0975,0.00128464
Caprimulgus macrurus,0.0675,0.00104636
Aegotheles cristatus,0.045,0.00147112
Aerodramus terraereginae,0.0125,0.00024864
Hirundapus caudacutus,0.1175,0.00133644
Oceanites oceanicus,0.035,0.00073556
Pelagodroma marina,0.055,0.00100492
Diomedea exulans,8.59,0.029267
Thalassarche cauta,4.025,0.02003624
Thalassarche chrysostoma,3.41,0.0198394
Phoebetria palpebrata,2.8,0.01754984
Macronectes giganteus,4.34,0.01858584
Fulmarus glacialoides,0.8,0.00772856
Daption capense,0.44,0.00520072
Halobaena caerulea,0.201,0.00286972
Pachyptila salvini,0.162,0.00213416
Pachyptila desolata,0.152,0.0021756
Pachyptila belcheri,0.149,0.002072
Pachyptila turtur,0.1279,0.002072
Procellaria aequinoctialis,1.369,0.00931364
Procellaria cinerea,1.032,0.00879564
Ardenna pacifica,0.465,0.00411292
Ardenna grisea,0.8,0.00550116
Ardenna tenuirostris,0.585,0.004662
Puffinus gavia,0.266,0.00302512
