Species,Pollination
Amelanchier sanguinea,out 
Annona glabra,out 
Arbutus menziesii,out 
Carya aquatica,out 
Carya illinoinensis,out 
Carya myristiciformis,out 
Carya ovalis,out 
Carya pallida,out 
Carya texana,out 
Castanea pumila,out 
Celtis laevigata,out 
Chrysolepis chrysophylla,out 
Cinnamomum camphora,out 
Citrus spp.,out 
Crataegus mollis,out 
Diospyros spp.,out 
Diospyros texana,out 
Ehretia anacua,out 
Juglans major,out 
Lithocarpus densiflorus,out 
Magnolia fraseri,out 
Magnolia grandiflora,out 
Magnolia macrophylla,out 
Magnolia tripetala,out 
Magnolia virginiana,out 
Malus angustifolia,out 
Malus coronaria,out 
Morus alba,out 
Nyssa ogeche,out 
Persea borbonia,out 
Prosopis glandulosa,out 
Prosopis velutina,out 
Prunus americana,out 
Prunus emarginata,out 
Prunus nigra,out 
Quercus agrifolia,out 
Quercus arizonica,out 
Quercus bicolor,out 
Quercus buckleyi,out 
Quercus chrysolepis,out 
Quercus douglasii,out 
Quercus ellipsoidalis,out 
Quercus emoryi,out 
Quercus falcata,out 
Quercus gambelii,out 
Quercus grisea,out 
Quercus hypoleucoides,out 
Quercus incana,out 
Quercus kelloggii,out 
Quercus laevis,out 
Quercus laurifolia,out 
Quercus lobata,out 
Quercus lyrata,out 
Quercus margarettiae,out 
Quercus marilandica,out 
Quercus minima,out 
Quercus nigra,out 
Quercus pagoda,out 
Quercus phellos,out 
Quercus shumardii,out 
Quercus similis,out 
Quercus sinuata,out 
Quercus texana,out 
Quercus virginiana,out 
Quercus wislizeni,out 
Sabal palmetto,out 
Sapindus saponaria,out 
Sideroxylon lanuginosum,out 
Umbellularia californica,out 
Vernicia fordii,out 
Fagus sylvatica,out 
Prunus avium,Self
Quercus petraea,out 
Sorbus torminalis,out 
Taxus baccata,out 
Amelanchier sanguinea,out 
Annona glabra,out 
Arbutus menziesii,out 
Carya aquatica,out 
Carya illinoinensis,out 
Carya myristiciformis,out 
Carya ovalis,out 
Carya pallida,out 
Carya texana,out 
Castanea pumila,out 
Celtis laevigata,out 
Chrysolepis chrysophylla,out 
Cinnamomum camphora,out 
Citrus spp.,out 
Crataegus mollis,out 
Diospyros spp.,out 
Diospyros texana,out 
Ehretia anacua,out 
Juglans major,out 
Lithocarpus densiflorus,out 
Magnolia fraseri,out 
Magnolia grandiflora,out 
Magnolia macrophylla,out 
Magnolia tripetala,out 
Magnolia virginiana,out 
Malus angustifolia,out 
Malus coronaria,out 
Morus alba,out 
Nyssa ogeche,out 
Persea borbonia,out 
Prosopis glandulosa,out 
Prosopis velutina,out 
Prunus americana,out 
Prunus emarginata,out 
Prunus nigra,out 
Quercus agrifolia,out 
Quercus arizonica,out 
Quercus bicolor,out 
Quercus buckleyi,out 
Quercus chrysolepis,out 
Quercus douglasii,out 
Quercus ellipsoidalis,out 
Quercus emoryi,out 
Quercus falcata,out 
Quercus gambelii,out 
Quercus grisea,out 
Quercus hypoleucoides,out 
Quercus incana,out 
Quercus kelloggii,out 
Quercus laevis,out 
Quercus laurifolia,out 
Quercus lobata,out 
Quercus lyrata,out 
Quercus margarettiae,out 
Quercus marilandica,out 
Quercus minima,out 
Quercus nigra,out 
Quercus pagoda,out 
Quercus phellos,out 
Quercus shumardii,out 
Quercus similis,out 
Quercus sinuata,out 
Quercus texana,out 
Quercus virginiana,out 
Quercus wislizeni,out 
Sabal palmetto,out 
Sapindus saponaria,out 
Sideroxylon lanuginosum,out 
Umbellularia californica,out 
Vernicia fordii,out 
Camissonia cheiranthifolia,Self
Cornus nuttallii,out 
Crataegus crus-galli,out 
Juniperus ashei,out 
Juniperus californica,out 
Juniperus coahuilensis,out 
Juniperus deppeana,out 
Juniperus monosperma,out 
Juniperus pinchotii,out 
Melia azedarach,Self
Sorbus americana,Self
Sorbus decora,Self
Sorbus spp.,Self
Cornus nuttallii,out 
Crataegus crus-galli,out 
Juniperus ashei,out 
Juniperus californica,out 
Juniperus coahuilensis,out 
Juniperus deppeana,out 
Juniperus monosperma,out 
Juniperus pinchotii,out 
Melia azedarach,Self
Sorbus americana,Self
Sorbus decora,Self
Sorbus spp.,Self
Prunus avium,out 
Prunus avium,out 
Aesculus californica,out 
Aesculus flava,out 
Aesculus sylvatica,out 
Oxydendrum arboreum,out 
Quercus rugosa,out 
Sophora affinis,out 
Torreya californica,out 
Triadica sebifera,out 
Tsuga caroliniana,out 
Aesculus californica,out 
Aesculus flava,out 
Aesculus sylvatica,out 
Oxydendrum arboreum,out 
Quercus rugosa,out 
Sophora affinis,out 
Torreya californica,out 
Triadica sebifera,out 
Tsuga caroliniana,out 
Avicennia germinans,out 
Gleditsia aquatica,out 
Laguncularia racemosa,Self
Nyssa aquatica,out 
Nyssa biflora,out 
Planera aquatica,out 
Rhizophora mangle,out 
Taxodium ascendens,out 
Taxodium distichum,out 
Avicennia germinans,out 
Gleditsia aquatica,out 
Laguncularia racemosa,Self
Nyssa aquatica,out 
Nyssa biflora,out 
Planera aquatica,out 
Rhizophora mangle,out 
Taxodium ascendens,out 
Taxodium distichum,out 
Abronia umbellata,Self
