ID,Author,Year,Kingdom,Species,correlation.coefficient,sample_size,Method,yi,vi,se
6,Dallas et al.,2017,Plant,Abies amabilis,-0.07,1533,ED,-0.070,0.001,0.026
6,Dallas et al.,2017,Plant,Abies amabilis,-0.06,1533,GD,-0.060,0.001,0.026
6,Dallas et al.,2017,Plant,Abies fraseri,0.05,18,ED,0.050,0.067,0.258
6,Dallas et al.,2017,Plant,Abies fraseri,0.59,18,GD,0.678,0.067,0.258
6,Dallas et al.,2017,Plant,Abies procera,0.12,264,ED,0.121,0.004,0.062
6,Dallas et al.,2017,Plant,Abies procera,0.02,264,GD,0.020,0.004,0.062
6,Dallas et al.,2017,Plant,Abies shastensis,-0.02,215,ED,-0.020,0.005,0.069
6,Dallas et al.,2017,Plant,Abies shastensis,-0.04,215,GD,-0.040,0.005,0.069
19,Samis & Eckert,2007,Plant,Abronia umbellata,-0.05,35,GD,-0.050,0.031,0.177
6,Dallas et al.,2017,Plant,Acacia farnesiana,-0.05,170,ED,-0.050,0.006,0.077
6,Dallas et al.,2017,Plant,Acacia farnesiana,0.13,170,GD,0.131,0.006,0.077
6,Dallas et al.,2017,Animal,Acanthis flammea,-0.09,205,ED,-0.090,0.005,0.070
6,Dallas et al.,2017,Animal,Acanthis flammea,0.04,205,GD,0.040,0.005,0.070
16,Osocrio-Olivera et al,2020,Animal,Acanthis flammea,-0.07,104,MD,-0.070,0.010,0.100
16,Osocrio-Olivera et al,2020,Animal,Acanthis flammea,-0.29,104,ED,-0.299,0.010,0.100
6,Dallas et al.,2017,Animal,Acanthis hornemanni,0.05,43,ED,0.050,0.025,0.158
6,Dallas et al.,2017,Animal,Acanthis hornemanni,-0.12,44,GD,-0.121,0.024,0.156
6,Dallas et al.,2017,Animal,Accipiter bicolor,-0.46,15,ED,-0.497,0.083,0.289
6,Dallas et al.,2017,Animal,Accipiter bicolor,0.39,15,GD,0.412,0.083,0.289
6,Dallas et al.,2017,Animal,Accipiter cooperii,-0.01,652,ED,-0.010,0.002,0.039
6,Dallas et al.,2017,Animal,Accipiter cooperii,-0.04,657,GD,-0.040,0.002,0.039
16,Osocrio-Olivera et al,2020,Animal,Accipiter cooperii,0.02,1119,MD,0.020,0.001,0.030
16,Osocrio-Olivera et al,2020,Animal,Accipiter cooperii,0.03,1119,ED,0.030,0.001,0.030
6,Dallas et al.,2017,Animal,Accipiter gentilis,-0.05,196,ED,-0.050,0.005,0.072
6,Dallas et al.,2017,Animal,Accipiter gentilis,0.08,197,GD,0.080,0.005,0.072
16,Osocrio-Olivera et al,2020,Animal,Accipiter gentilis,0.05,267,MD,0.050,0.004,0.062
16,Osocrio-Olivera et al,2020,Animal,Accipiter gentilis,0.08,267,ED,0.080,0.004,0.062
6,Dallas et al.,2017,Animal,Accipiter sp.,-0.09,63,ED,-0.090,0.017,0.129
6,Dallas et al.,2017,Animal,Accipiter sp.,0.1,64,GD,0.100,0.016,0.128
6,Dallas et al.,2017,Animal,Accipiter striatus,-0.06,734,ED,-0.060,0.001,0.037
6,Dallas et al.,2017,Animal,Accipiter striatus,0.34,14,ED,0.354,0.091,0.302
6,Dallas et al.,2017,Animal,Accipiter striatus,-0.08,740,GD,-0.080,0.001,0.037
6,Dallas et al.,2017,Animal,Accipiter striatus,-0.2,14,GD,-0.203,0.091,0.302
16,Osocrio-Olivera et al,2020,Animal,Accipiter striatus,0,763,MD,0.000,0.001,0.036
16,Osocrio-Olivera et al,2020,Animal,Accipiter striatus,0.01,763,ED,0.010,0.001,0.036
6,Dallas et al.,2017,Animal,Accipitridae sp.,0.78,18,ED,1.045,0.067,0.258
6,Dallas et al.,2017,Animal,Accipitridae sp.,-0.16,18,GD,-0.161,0.067,0.258
6,Dallas et al.,2017,Plant,Acer barbatum,0.03,1561,ED,0.030,0.001,0.025
6,Dallas et al.,2017,Plant,Acer barbatum,0.06,1561,GD,0.060,0.001,0.025
6,Dallas et al.,2017,Plant,Acer leucoderme,0.03,73,ED,0.030,0.014,0.120
6,Dallas et al.,2017,Plant,Acer leucoderme,-0.09,73,GD,-0.090,0.014,0.120
12,Leuschner et al.,2009,Plant,Acer pseudoplatanus,0.36,12,ED,0.377,0.111,0.333
6,Dallas et al.,2017,Plant,Acer saccharinum,-0.05,709,ED,-0.050,0.001,0.038
6,Dallas et al.,2017,Plant,Acer saccharinum,-0.02,709,GD,-0.020,0.001,0.038
20,Santini et al.,2018,Animal,Acinonyx jubatus,0.16,23,GD,0.161,0.050,0.224
20,Santini et al.,2018,Animal,Acinonyx jubatus,0.11,23,MD,0.110,0.050,0.224
20,Santini et al.,2018,Animal,Acinonyx jubatus,-0.13,23,ED,-0.131,0.050,0.224
8,Hidas et al.,2010,Animal,Actinostrobus pyramidalis,0.96,4,GD,1.946,1.000,1.000
6,Dallas et al.,2017,Animal,Actitis macularius,0.04,840,ED,0.040,0.001,0.035
6,Dallas et al.,2017,Animal,Actitis macularius,0.08,857,GD,0.080,0.001,0.034
16,Osocrio-Olivera et al,2020,Animal,Actitis macularius,-0.03,1068,MD,-0.030,0.001,0.031
16,Osocrio-Olivera et al,2020,Animal,Actitis macularius,0.04,1068,ED,0.040,0.001,0.031
6,Dallas et al.,2017,Animal,Aechmophorus clarkii,0.11,137,ED,0.110,0.007,0.086
